Postcode,Latitude,Longitude,Easting,Northing,Grid reference,Active?
EC2A 1AA,"51,520,707",-0.087597,532780,181932,TQ327819,No
EC2A 1AB,"51,520,438",-0.088761,532700,181900,TQ327819,No
EC2A 1AD,"51,521,146",-0.087506,532785,181981,TQ327819,No
EC2A 1AE,"51,520,743",-0.087595,532780,181936,TQ327819,Yes
EC2A 1AF,"51,521,236",-0.087488,532786,181991,TQ327819,Yes
EC2A 1AG,"51,521,056",-0.08529,532939,181975,TQ329819,Yes
EC2A 1AH,"5,152,208",-0.086314,532865,182087,TQ328820,Yes
EC2A 1AJ,"51,521,236",-0.087488,532786,181991,TQ327819,Yes
EC2A 1AL,"51,521,313",-0.087283,532800,182000,TQ328820,No
EC2A 1AN,"51,521,747",-0.087423,532789,182048,TQ327820,Yes
EC2A 1AP,"51,520,415",-0.08732,532800,181900,TQ328819,No
EC2A 1AQ,"51,520,415",-0.08732,532800,181900,TQ328819,No
EC2A 1AR,"51,521,146",-0.087506,532785,181981,TQ327819,No
EC2A 1AS,"51,521,623",-0.087486,532785,182034,TQ327820,Yes
EC2A 1AT,"5,152,007",-0.087133,532814,181862,TQ328818,Yes
EC2A 1AU,"51,520,438",-0.088761,532700,181900,TQ327819,No
EC2A 1AX,"51,520,073",-0.08621,532878,181864,TQ328818,No
EC2A 1AY,"51,524,503",-0.112088,531070,182310,TQ310823,No
EC2A 1BA,"51,520,073",-0.08621,532878,181864,TQ328818,No
EC2A 1BB,"51,520,681",-0.085421,532931,181933,TQ329819,No
EC2A 1BD,"51,520,391",-0.08588,532900,181900,TQ329819,No
EC2A 1BE,"51,520,073",-0.08621,532878,181864,TQ328818,No
EC2A 1BH,"51,521,313",-0.087283,532800,182000,TQ328820,No
EC2A 1BR,"51,521,936",-0.08632,532865,182071,TQ328820,No
EC2A 1BS,"51,521,313",-0.087283,532800,182000,TQ328820,No
EC2A 1BT,"51,520,073",-0.08621,532878,181864,TQ328818,No
EC2A 1BX,"51,521,146",-0.087506,532785,181981,TQ327819,No
EC2A 1DA,"5,152,129",-0.085842,532900,182000,TQ329820,No
EC2A 1DB,"51,521,936",-0.08632,532865,182071,TQ328820,No
EC2A 1DD,"51,520,228",-0.086896,532830,181880,TQ328818,No
EC2A 1DE,"51,520,415",-0.08732,532800,181900,TQ328819,No
EC2A 1DH,"51,521,313",-0.087283,532800,182000,TQ328820,No
EC2A 1DJ,"51,521,313",-0.087283,532800,182000,TQ328820,No
EC2A 1DL,"51,520,438",-0.088761,532700,181900,TQ327819,No
EC2A 1DN,"51,521,862",-0.085617,532914,182064,TQ329820,No
EC2A 1DP,"51,521,936",-0.08632,532865,182071,TQ328820,No
EC2A 1DQ,"51,520,073",-0.08621,532878,181864,TQ328818,No
EC2A 1DR,"51,521,313",-0.087283,532800,182000,TQ328820,No
EC2A 1DS,"51,521,552",-0.085341,532934,182030,TQ329820,Yes
EC2A 1DT,"51,520,073",-0.08621,532878,181864,TQ328818,No
EC2A 1DU,"5,152,129",-0.085842,532900,182000,TQ329820,No
EC2A 1DX,"51,521,647",-0.085698,532909,182040,TQ329820,Yes
